HUD frame time nsec:,4956000

Range Index,Elapsed Time, First Event,Last Event
0,17056,59,59
1,1641824,90,90
2,90432,99,99
3,14592,106,106
4,1569632,135,135
5,50752,139,139
6,9120,146,146
7,246496,156,156
8,10368,164,164
9,672,177,177
10,269440,193,193
11,22304,201,201
12,3868000,231,231
13,69952,242,242
14,672,269,269
15,704,286,286
16,52224,295,295
17,5372064,310,310
18,31104,350,350
19,1408,353,353
20,569376,369,369
