HUD frame time nsec:,3769000

Range Index,Elapsed Time, First Event,Last Event
0,16896,59,59
1,967424,90,90
2,41792,99,99
3,15712,106,106
4,570592,135,135
5,57984,139,139
6,9024,147,147
7,88064,157,157
8,17472,165,165
9,640,178,178
10,175424,194,194
11,26592,202,202
12,3194560,232,232
13,17056,243,243
14,55360,270,270
15,672,287,287
16,52064,296,296
17,6032768,311,311
18,31392,351,351
19,1632,354,354
20,804352,370,370
