DynamicTerrain::checkDivide,0.000000,0.030005,0.000000,0.007780,TerrainRenderer,c:\users\user\desktop\github\procedural-terrain-estimator\renderer\terrainrenderer\dynamicterrain.cpp,272
glm::operator==<float,0>,0.027870,0.027870,0.007227,0.007227,TerrainRenderer,c:\users\user\desktop\github\procedural-terrain-estimator\renderer\dependencies\glm\detail\type_vec3.inl,972
EngineApp::updateScene,0.000000,0.086757,0.000000,0.022496,TerrainRenderer,c:\users\user\desktop\github\procedural-terrain-estimator\renderer\terrainrenderer\engineapp.cpp,38
EngineApp::drawScene,0.000000,0.025995,0.000000,0.006740,TerrainRenderer,c:\users\user\desktop\github\procedural-terrain-estimator\renderer\terrainrenderer\engineapp.cpp,58
std::experimental::filesystem::v1::last_write_time,0.000000,0.055789,0.000000,0.014466,TerrainRenderer,c:\program files (x86)\microsoft visual studio\2017\community\vc\tools\msvc\14.15.26726\include\experimental\filesystem,2885
EngineTerrain::updateScene,0.000000,0.086757,0.000000,0.022496,TerrainRenderer,c:\users\user\desktop\github\procedural-terrain-estimator\renderer\terrainrenderer\engineterrain.cpp,55
main,0.000000,32.138116,0.000000,8.333333,TerrainRenderer,c:\users\user\desktop\github\procedural-terrain-estimator\renderer\terrainrenderer\main.cpp,45
glfwPlatformPollEvents,0.000000,0.028983,0.000000,0.007515,TerrainRenderer,[unknown],0
glfwGetWin32Window,0.000000,0.028983,0.000000,0.007515,TerrainRenderer,[unknown],0
__scrt_common_main_seh,0.000000,32.138116,0.000000,8.333333,TerrainRenderer,f:\dd\vctools\crt\vcstartup\src\startup\exe_common.inl,288
Microsoft::CoreUI::IExportMessageSession$X__ExportAdapter::Run,0.000000,32.138116,0.000000,8.333333,CoreMessaging,[unknown],0
Microsoft::CoreUI::Dispatch::EventLoop::Callback_RunCoreLoop,0.000000,32.138116,0.000000,8.333333,CoreMessaging,[unknown],0
Microsoft::CoreUI::Dispatch::EventLoop::Callback_Run,0.000000,32.138116,0.000000,8.333333,CoreMessaging,[unknown],0
Microsoft::CoreUI::Dispatch::WaitArray::Callback_WaitAny,0.000000,32.138116,0.000000,8.333333,CoreMessaging,[unknown],0
Microsoft::CoreUI::Dispatch::WaitArray::Callback_DoWait,0.000000,32.138116,0.000000,8.333333,CoreMessaging,[unknown],0
Microsoft::CoreUI::Dispatch::WaitController::Callback_OnDispatch,0.000000,32.138116,0.000000,8.333333,CoreMessaging,[unknown],0
Microsoft::CoreUI::Dispatch::WaitController::Callback_DoGeneralWait,0.000000,32.138116,0.000000,8.333333,CoreMessaging,[unknown],0
Microsoft::CoreUI::Messaging::MessageSession$R::Microsoft__CoreUI__IExportMessageSession_Impl::Run,0.000000,32.138116,0.000000,8.333333,CoreMessaging,[unknown],0
DwmpDxGetWindowSharedSurface,0.085734,0.115707,0.022231,0.030003,dwmapi,[unknown],0
thread_start<unsigned int (__cdecl*)(void * __ptr64)>,0.000000,128.552463,0.000000,33.333333,ucrtbase,[unknown],0
sqrtf,0.030005,0.030005,0.007780,0.007780,ucrtbase,[unknown],0
GetFileAttributesExW,0.055789,0.055789,0.014466,0.014466,KERNELBASE,[unknown],0
WaitForSingleObjectEx,32.493925,32.493925,8.425594,8.425594,KERNELBASE,[unknown],0
SleepEx,128.496674,128.496674,33.318867,33.318867,KERNELBASE,[unknown],0
WaitForMultipleObjects,32.138116,32.138116,8.333333,8.333333,KERNELBASE,[unknown],0
WaitForMultipleObjectsEx,32.138116,32.138116,8.333333,8.333333,KERNELBASE,[unknown],0
GetThreadTimes,0.027974,0.027974,0.007254,0.007254,KERNELBASE,[unknown],0
GetSystemTimes,0.025917,0.025917,0.006720,0.006720,KERNELBASE,[unknown],0
ZwUserPeekMessage,0.000000,0.028983,0.000000,0.007515,win32u,[unknown],0
ZwGdiDdDDIEscape,0.337187,0.337187,0.087432,0.087432,win32u,[unknown],0
ZwGdiDdDDIPresent,0.139612,0.139612,0.036201,0.036201,win32u,[unknown],0
ZwGdiDdDDIWaitForVerticalBlankEvent,30.294734,30.294734,7.855349,7.855349,win32u,[unknown],0
ZwUserHwndQueryRedirectionInfo,0.029973,0.029973,0.007772,0.007772,win32u,[unknown],0
ZwUserMsgWaitForMultipleObjectsEx,32.138116,32.138116,8.333333,8.333333,win32u,[unknown],0
ZwUserWindowFromDC,0.084853,0.084853,0.022002,0.022002,win32u,[unknown],0
GetPixelFormat,0.000000,0.028940,0.000000,0.007504,gdi32full,[unknown],0
SwapBuffers,0.000000,31.996381,0.000000,8.296582,gdi32full,[unknown],0
InternalFindAtom,0.000000,0.000000,0.000000,0.000000,KERNEL32,[unknown],0
BaseSetLastNTError,0.000000,0.000000,0.000000,0.000000,KERNEL32,[unknown],0
BaseThreadInitThunk,0.000000,289.243043,0.000000,75.000000,KERNEL32,[unknown],0
VerifyVersionInfoW,0.026835,0.026835,0.006958,0.006958,KERNEL32,[unknown],0
CallWindowProcW,0.000000,0.028983,0.000000,0.007515,USER32,[unknown],0
DispatchClientMessage,0.000000,0.028983,0.000000,0.007515,USER32,[unknown],0
UserCallWinProcCheckWow,0.000000,0.028983,0.000000,0.007515,USER32,[unknown],0
PeekMessageW,0.000000,0.028983,0.000000,0.007515,USER32,[unknown],0
_PeekMessage,0.000000,0.028983,0.000000,0.007515,USER32,[unknown],0
